system,task_type,records_attempted,records_schema_valid,schema_parse_success,scalar_exact_accuracy,scalar_lenient_accuracy,entity_exact_f1,entity_lenient_f1,hallucination_rate,missing_entity_rate,annotation_gap_rate,overall_extraction_score,records_nonempty,ocr_f1,text_similarity,runtime,status,label,notes
glm-ocr:latest,raw_ocr,53,,,,,,,,,,,53,0.2464,0.1874,2.6471,complete,complete_raw_ocr,raw OCR only; CER/WER supplementary
docTR,raw_ocr,53,,,,,,,,,,,53,0.198,0.1851,9.1378,complete,complete_raw_ocr,raw OCR only; CER/WER supplementary
TrOCR,raw_ocr,53,,,,,,,,,,,53,0.0082,0.0098,6.6103,complete,complete_raw_ocr,raw OCR only; CER/WER supplementary
Docling,raw_ocr,43,,,,,,,,,,,43,0.148,0.148,47.758,complete,partial_43_of_53,raw OCR only; 43 imported records
Surya,raw_ocr,25,,,,,,,,,,,25,0.2395,0.2034,86.752,complete,partial_25_of_53,raw OCR only; 25 imported records
Internal Qwen3-27B compact recovered,structured_extraction,,,,,,,,,,,,,,,,pending_server2_final_package,pending; do not substitute old streaming/partial run,Final recovered compact metrics await Server 2 paper package import.
qwen3-vl:8b-instruct,structured_extraction,53,48,0.9057,0.6191,0.6935,0.0117,0.053,0.0,0.9219,,0.3549,,,,19.7501,complete,complete_local_direct_baseline,strongest completed direct baseline; 48/53 valid; annotation-gap unavailable in frozen compatibility metrics
llava:13b,structured_extraction,53,27,0.5094,0.4815,0.4868,0.0,0.0,0.0,1.0,,0.2483,,,,7.1591,complete,complete_diagnostic,diagnostic direct baseline; annotation-gap unavailable in frozen compatibility metrics
GLM-OCR + qwen3:8b,ocr_to_json,53,50,0.9434,0.58,0.6586,0.0244,0.0809,0.0337,0.8851,0.7772,0.3628,,,,23.3147,complete,complete_best_ocr_to_json,canonical raw_rx_v2 structured pipeline
docTR + qwen3:8b,ocr_to_json,53,49,0.9245,0.5146,0.5831,0.014,0.0473,0.0287,0.9386,0.8042,0.3296,,,,18.9745,complete,complete,canonical raw_rx_v2 structured pipeline
TrOCR + qwen3:8b,ocr_to_json,53,48,0.9057,0.433,0.4345,0.0009,0.0009,0.0026,0.9992,0.4314,0.2777,,,,47.3863,complete,complete_low_quality,canonical raw_rx_v2 structured pipeline
GLM-OCR + qwen2.5:14b,ocr_to_json,41,0,0.0,,,,,,,,,,,,7.7354,excluded,excluded_wrong_json_shape,schema_invalid_wrong_json_shape; excluded from structured success counts
